"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Glen Moray Classic Sherry Cask finish","8.50","0.23","4","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach 15yo Tawny Port Finish","8.49","0.44","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.49","0.46","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 16yo Diurach's Own","8.49","0.36","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Prim??r","8.49","0.25","4","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Aberfeldy 16yo","8.48","0.20","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (batch 3)","8.48","0.72","6","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Dark Origins","8.48","0.46","20","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 16yo Single Malt","8.47","0.48","18","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Ledaig 1996","8.46","0.82","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 12yo Saint Magnus","8.45","0.38","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 15yo Tawny Port Finish","8.44","0.28","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Blair Athol 12yo (F&F)","8.44","0.42","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.44","0.65","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glentauchers 1991 18yo (Gordon & MacPhail)","8.44","0.24","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Lismore 21yo","8.44","0.18","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Cabernet Sauvignon","8.44","1.10","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Milsean","8.43","0.41","11","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 10yo Sherry Oak","8.43","0.31","11","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Teeling Single Malt","8.43","0.29","9","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Westland Sherry Wood","8.43","0.45","13","$$$$","SingleMalt-like","ABC","B","USA","Malt"
"Dalmore Cigar Malt","8.42","0.40","7","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Lasanta","8.42","0.36","21","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Wemyss Malts The Spice King","8.42","0.28","13","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 12yo Doublewood","8.41","0.33","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 21yo","8.41","0.71","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Moray Classic Port Cask finish","8.40","0.25","3","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Rocks","8.38","0.29","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills Black Bush","8.38","0.38","22","$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Glen Garioch 1999 Sherry Cask Matured","8.38","0.98","7","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach 14yo Sauternes Cask Finish","8.38","0.40","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Singleton of Glen Ord 18yo","8.38","0.28","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Writers Tears Red Head Single Malt","8.38","0.38","6","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Bushmills Sherry Cask Reserve","8.37","0.43","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Bladnoch 15yo Adela","8.36","0.34","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.35","0.20","17","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bladnoch Samsara","8.35","0.30","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 16yo Renaissance Chapter II","8.35","0.57","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan Sherry Edition","8.35","0.30","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Pomerol Bordeaux Cask Finish","8.34","0.64","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 12yo Port Wood Finish","8.34","0.30","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Sherry Cask Finish","8.34","0.32","7","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Balvenie 12yo Triple Cask","8.33","0.46","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 10yo","8.33","0.32","17","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Benrinnes 15yo F&F","8.32","0.80","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 12yo Elixir","8.32","0.45","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore 15yo","8.31","0.48","20","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Sherry Cask Finish","8.30","0.56","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Cigar Malt Reserve","8.30","0.64","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Malt Master's Edition","8.30","0.29","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 21yo 200th Anniversary","8.28","0.76","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Concertmaster Port Cask","8.28","0.55","20","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Aberlour 10yo","8.27","0.35","15","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Auchentoshan Three Wood","8.27","0.41","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Moray 16yo","8.26","0.54","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Select Oak","8.26","0.34","12","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Wemyss Malts Velvet Fig","8.25","1.15","5","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore Black Rock","8.24","0.33","9","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Reserve Cask","8.24","0.25","8","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore King Alexander III","8.22","0.49","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Robur Reserve","8.22","0.40","6","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Tullibardine 500 Sherry Finish","8.22","0.29","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo","8.17","0.44","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 21yo Single Malt","8.16","2.68","12","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Mackmyra Blomstertid","8.15","0.22","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Singleton of Dufftown Tailfire","8.15","0.49","3","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Sherry Cask Reserve","8.11","0.70","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore Gran Reserva","8.07","0.36","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Select","8.04","0.38","15","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 16yo","7.98","0.49","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tullibardine 1993 Port","7.98","0.36","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Longmorn Distiller's Choice","7.96","0.32","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Lochnagar 12yo","7.96","0.30","13","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut PX Sherry Single Cask 2702","7.92","0.91","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Jura Turas Mara","7.92","0.53","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Madeira","7.92","0.98","13","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Penderyn Sherrywood","7.73","0.57","10","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Singleton of Dufftown Spey Cascade","7.49","0.56","3","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ichiro's Malt The Joker","9.22","0.18","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Bunnahabhain 40yo","9.14","0.33","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Hibiki 21yo","9.14","0.25","9","$$$$$+","SingleMalt-like","EF","E","Japan","Blend"
"Bruichladdich Black Art 3.x 1989","9.09","0.40","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Dair Ghaelach","9.09","0.27","9","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Compass Box Phenomenology","9.08","0.18","6","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glencadam 25yo","9.08","0.02","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Double Cask","9.07","0.15","7","$$$$","SingleMalt-like","EF","E","India","Malt"
"GlenDronach 19yo Madeira Finish","9.05","0.27","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 30yo","9.05","0.12","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 12yo Cask Strength","9.04","0.33","19","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Cragganmore 25yo","9.03","0.05","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Virgin Oak Single Cask","9.02","0.22","4","$$$$","SingleMalt-like","EF","E","India","Malt"
"Bruichladdich Black Art 2.x 1989","9.02","0.15","8","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Reserve Single Cask (various casks)","9.01","0.49","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Craigellachie 23yo","8.98","0.25","8","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 3","8.97","0.14","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box 3yo Deluxe","8.96","0.21","9","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Yamazaki Mizunara","8.95","0.2","8","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Aultmore 25yo","8.94","0.21","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt 18yo","8.93","0.12","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Box The 2nd Step Collection 02","8.93","0.05","6","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Tomatin Decades","8.93","0.50","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 5.x 1992","8.91","0.34","7","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Nadurra First Fill (White Oak)","8.91","0.22","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kavalan ex-Bourbon Oak","8.91","0.25","5","$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Macallan Edition No. 2","8.91","0.22","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Herald","8.90","0.15","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Paul John Single Cask","8.90","0.33","5","$$$$","SingleMalt-like","EF","E","India","Malt"
"Yamazaki Limited Edition 2016","8.9","0.24","3","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Amrut Fusion","8.89","0.25","25","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glen Grant 25yo","8.89","0.17","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Ealanta","8.89","0.28","16","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Kavalan Solist Ex-Bourbon","8.87","0.21","20","$$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Arran Malt Bourbon Single Cask","8.86","0.23","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt The Devil???s Punch Bowl (all chapters)","8.85","0.28","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kininvie 17yo (all batches)","8.85","0.30","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt 17yo","8.84","0.24","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Astar","8.84","0.24","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Gl??d","8.84","0.42","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Compass Box Spice Tree Extravaganza","8.83","0.27","10","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Amrut Two Continents","8.82","0.44","14","$$$$","SingleMalt-like","EF","E","India","Malt"
"Auchentoshan 21yo","8.82","0.26","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 21yo Archive (all batches)","8.82","0.29","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka From the Barrel","8.82","0.37","23","$$$","SingleMalt-like","EF","F","Japan","Blend"
"Mackmyra Moment Urberg","8.81","0.25","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Midleton Very Rare (all vintages)","8.81","0.44","12","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Glenfiddich Project XX Experimental Series","8.80","0.22","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 1","8.80","0.50","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathmill 25yo","8.80","0.41","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 21yo","8.79","0.19","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 25yo","8.79","0.43","15","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Clynelish 14yo","8.79","0.24","17","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Cragganmore NAS (Special Release 2016)","8.79","0.62","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2016","8.79","0.39","3","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Nikka Taketsuru 17yo","8.79","0.26","15","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Arran Malt Tokaji Aszu Wine Finish","8.78","0.35","4","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Compass Box Spice Tree","8.78","0.31","24","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Grant Five Decades","8.78","0.23","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach Special Strength","8.78","0.59","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 17yo","8.78","0.23","20","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Hakushu 18yo","8.77","0.29","8","$$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Hibiki 17yo","8.77","0.33","16","$$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Mackmyra Moment Rimfrost","8.76","0.35","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Nikka Coffey Malt","8.76","0.42","12","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Mackmyra Special 04","8.75","0.36","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Amrut Bourbon Single Cask","8.74","0.33","13","$$$$","SingleMalt-like","EF","E","India","Malt"
"Bruichladdich 21yo Cuv??e 640 Eroica","8.74","0.40","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Cask of Dreams","8.74","0.22","7","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Redbreast 12yo","8.73","0.40","23","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Arran Malt Napoleon Cognac Finish","8.72","0.69","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Bourbon Cask)","8.72","0.26","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 18yo Fine Oak","8.72","0.26","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 15yo","8.72","0.25","15","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Balcones Texas Single Malt Whisky","8.71","0.30","13","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Glenfiddich 15yo Distillery Edition","8.70","0.29","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie 18yo","8.70","0.30","16","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach 18yo","8.70","0.61","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Westland Single Cask","8.7","0.18","4","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Mackmyra Special 03","8.69","0.29","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Storas 21yo Rare Cask Reserves Blended","8.69","0.11","4","$$$","SingleMalt-like","EF","E","Scotland","Blend"
"AnCnoc 18yo","8.68","0.33","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich 21yo Cuv??e 382 La Berenice","8.68","0.59","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 25yo Single Barrel","8.67","0.92","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Oak Cross","8.67","0.31","15","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Royal Brackla 16yo","8.67","0.26","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 12yo","8.66","0.27","24","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch 12yo","8.66","0.31","16","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Ichiro's Malt Double Distilleries","8.65","0.23","8","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Copperworks American Single Malt","8.64","0.22","5","$$$","SingleMalt-like","EF","E","USA","Malt"
"Bruichladdich Black Art 4.x 1990","8.63","0.60","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 12yo Single Barrel","8.62","0.32","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 09","8.62","0.23","4","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Paul John Classic Select Cask","8.62","0.37","7","$$$$","SingleMalt-like","EF","E","India","Malt"
"Caol Ila 17yo Unpeated","8.61","0.45","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Cipher","8.61","0.32","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kilkerran Work in Progress Sherry Wood","8.61","0.42","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1995 (all bottlings)","8.60","0.28","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 18yo","8.59","0.22","24","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Craigellachie 17yo","8.58","0.20","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 18yo","8.58","0.36","21","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove American Oak","8.58","0.39","6","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Deanston 18yo (Bourbon Finish)","8.57","0.46","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2015","8.57","0.41","5","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Westland American Single Malt","8.57","0.33","14","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Glen Grant 18yo","8.55","0.76","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 14yo Rich Oak","8.55","0.33","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Jord","8.55","0.63","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Sullivans Cove Port Cask Strength","8.55","0.62","8","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Teerenpeli Distiller???s Choice RASI","8.55","0.36","3","$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Teerenpeli Distiller's Choice KASKI","8.55","0.26","3","$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Tyrconnell 10yo Madeira Cask Finish","8.55","0.34","12","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glengoyne 17yo","8.54","0.27","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kininvie 23yo (all batches)","8.54","0.35","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Bourbon Cask Strength","8.54","0.74","6","$$$$","SingleMalt-like","EF","F","Tasmania","Malt"
"Yamazaki Distiller's Reserve","8.54","0.31","7","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Balvenie 14yo Carribean Cask","8.53","0.33","20","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Box The Messenger","8.53","0.41","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Nikka Pure Malt Red","8.53","0.33","9","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Arran Malt Sauternes Finish","8.51","0.32","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 16yo","8.51","0.30","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 21yo Fine Oak","8.51","0.40","6","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Green Spot","8.50","0.36","19","$$$$","SingleMalt-like","EF","F","Ireland","Malt"
"Paul John Brilliance","8.50","0.35","9","$$$","SingleMalt-like","EF","E","India","Malt"
"Mackmyra Special 05","8.49","0.38","7","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Macallan 12yo Double Cask","8.48","0.38","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Solsken","8.48","0.52","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mortlach Rare Old","8.48","0.41","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage Reserve (NAS)","8.47","0.23","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment K??lla","8.47","0.30","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Deveron 18yo","8.46","0.50","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach 8yo The Hielan","8.45","0.31","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 15yo Fine Oak","8.45","0.51","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Malstr??m (Maelstrom)","8.45","0.74","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Singleton of Glen Ord 15yo","8.45","0.42","4","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain Eirigh Na Greine","8.44","0.45","10","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain Stiuireadair","8.44","0.37","5","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Nikka All Malt","8.44","0.18","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"Old Pulteney 12yo","8.44","0.25","26","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 25yo","8.43","0.40","6","$$$$$+","SingleMalt-like","EF","E","Ireland","Malt"
"Benromach Organic","8.42","0.54","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalmore 12yo","8.42","0.27","20","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.42","0.20","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 10","8.42","0.50","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Teerenpeli 8yo","8.41","0.38","7","$$$$$","SingleMalt-like","EF","E","Finland","Malt"
"Bunnahabhain Darach Ur","8.40","0.30","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Nikka Taketsuru 12yo","8.40","0.37","19","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Singleton of Dufftown 18yo","8.40","0.14","4","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Experimental Series IPA Cask Finish","8.39","0.29","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 15yo French Oak","8.38","0.25","19","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Craigellachie 14yo","8.37","0.28","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"BenRiach 12yo Horizons","8.36","0.31","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 18yo","8.35","0.39","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 12yo","8.35","0.29","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 08","8.35","0.31","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Old Pulteney Navigator","8.35","0.36","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deveron 12yo","8.34","0.29","6","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glencadam Origin 1825 (NAS)","8.34","0.13","3","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 225 Sauternes Finish","8.34","0.37","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 15yo","8.33","0.18","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 14yo Bourbon Barrel Reserve","8.32","0.23","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Knappogue Castle 14yo Twin Wood","8.32","0.28","5","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Teeling Small Batch (Rum Cask Finish)","8.32","0.40","23","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Tomatin 15yo","8.32","0.54","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.31","0.61","11","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Monkey Shoulder","8.31","0.37","19","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 1824 Amber","8.30","0.36","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Ohishi Brandy Cask","8.30","0.19","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glen Ord 12yo","8.30","0.26","6","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Double Cask","8.30","0.49","14","$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Scapa 16yo","8.29","0.29","16","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.29","0.1","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 12yo","8.28","0.26","23","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Gouden Carolus Single Malt","8.27","0.36","5","$$$$","SingleMalt-like","EF","E","Belgium","Malt"
"Teaninich 10yo (F&F)","8.27","0.20","4","","SingleMalt-like","EF","F","Scotland","Malt"
"Bruichladdich Black Art 1989","8.26","0.38","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
